movie_id,title,phase,genre,lead_actor,director,release_date,release_year,duration_minutes,imdb_rating,popularity_score,total_box_office_usd,verdict,poster_url,country
8,Thor: The Dark World,2,Fantasy,Chris Hemsworth,Alan Taylor,2013-11-08,2013,112,6.76,100.0,69198258,Flop,https://mcu-posters.example.com/8.jpg,USA
18,Black Panther,3,Action,Chadwick Boseman,Ryan Coogler,2018-02-16,2018,134,7.76,100.0,147786546,Hit,https://mcu-posters.example.com/18.jpg,Australia
15,Guardians of the Galaxy Vol. 2,3,Sci-Fi,Chris Pratt,James Gunn,2017-05-05,2017,136,7.53,96.5,83268884,Hit,https://mcu-posters.example.com/15.jpg,Canada
7,Iron Man 3,2,Action,Robert Downey Jr.,Shane Black,2013-05-03,2013,130,7.33,100.0,150281153,Hit,https://mcu-posters.example.com/7.jpg,Germany
6,The Avengers,1,Action,Robert Downey Jr.,Joss Whedon,2012-05-04,2012,143,8.16,93.0,141203026,Hit,https://mcu-posters.example.com/6.jpg,France
28,Doctor Strange in the Multiverse of Madness,4,Fantasy,Benedict Cumberbatch,Sam Raimi,2022-05-06,2022,126,6.76,93.0,88861541,Flop,https://mcu-posters.example.com/28.jpg,USA
2,The Incredible Hulk,1,Action,Edward Norton,Louis Leterrier,2008-06-13,2008,112,6.03,100.0,27358170,Flop,https://mcu-posters.example.com/2.jpg,UK
14,Doctor Strange,3,Fantasy,Benedict Cumberbatch,Scott Derrickson,2016-11-04,2016,115,7.33,74.1,50183459,Hit,https://mcu-posters.example.com/14.jpg,Australia
33,The Marvels,5,Action,Brie Larson,Nia DaCosta,2023-11-10,2023,105,5.69,84.8,17470351,Flop,https://mcu-posters.example.com/33.jpg,France
2,The Incredible Hulk,1,Action,Edward Norton,Louis Leterrier,2008-06-13,2008,112,6.18,86.4,22804224,Flop,https://mcu-posters.example.com/2.jpg,Germany
13,Captain America: Civil War,3,Action,Chris Evans,Russo Brothers,2016-05-06,2016,147,7.73,100.0,140648395,Hit,https://mcu-posters.example.com/13.jpg,Germany
27,Spider-Man: No Way Home,4,Action,Tom Holland,Jon Watts,2021-12-17,2021,148,7.77,100.0,194045825,Hit,https://mcu-posters.example.com/27.jpg,Australia
29,Thor: Love and Thunder,4,Fantasy,Chris Hemsworth,Taika Waititi,2022-07-08,2022,119,6.23,91.8,69794036,Flop,https://mcu-posters.example.com/29.jpg,France
18,Black Panther,3,Action,Chadwick Boseman,Ryan Coogler,2018-02-16,2018,134,7.41,82.7,111444174,Hit,https://mcu-posters.example.com/18.jpg,USA
11,Avengers: Age of Ultron,2,Action,Robert Downey Jr.,Joss Whedon,2015-05-01,2015,141,7.21,91.0,127841539,Hit,https://mcu-posters.example.com/11.jpg,Japan
